#Chromo	Pos	Watterson	Pairwise	thetaSingleton	thetaH	thetaL
J02459.1	38	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	39	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	40	-21.951677	-21.500559	-27.367674	-21.501060	-21.500811
J02459.1	41	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	42	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	43	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	44	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	45	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	46	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	47	-25.394165	-24.957880	-28.060829	-24.965899	-24.961882
J02459.1	48	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	49	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	50	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	51	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	52	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	53	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	54	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	55	-28.546276	-28.297243	-28.753986	-28.416697	-28.355187
J02459.1	56	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	57	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	58	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	59	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	60	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	61	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	62	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	63	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	64	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	65	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	66	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	67	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	68	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	69	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	70	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	71	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	72	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	73	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	74	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	75	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	76	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	77	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	78	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	79	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	80	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	81	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	82	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	83	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	84	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	85	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	86	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	87	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	88	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	89	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	90	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	91	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	92	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	93	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	94	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	95	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	96	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	97	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	98	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	99	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	100	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	101	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	102	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	103	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	104	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	105	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	106	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	107	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	108	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	109	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	110	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	111	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	112	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	113	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	114	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	115	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	116	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	117	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	118	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	119	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	120	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	121	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	122	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	123	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	124	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	125	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	126	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	127	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	128	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	129	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	130	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	131	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	132	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	133	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	134	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	135	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	136	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	137	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	138	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	139	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	140	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	141	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	142	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	143	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	144	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	145	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	146	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	147	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	148	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	149	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	150	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	151	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	152	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	153	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	154	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	155	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	156	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	157	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	158	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	159	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	160	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	161	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	162	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	163	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	164	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	165	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	166	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	167	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	168	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	169	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	170	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	171	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	172	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	173	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	174	-31.171415	-31.723164	-30.140299	-33.729939	-32.290188
J02459.1	175	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	176	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	177	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	178	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	179	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	180	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	181	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	182	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	183	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	184	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	185	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	186	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	187	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	188	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	189	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	190	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	191	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	192	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	193	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	194	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	195	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	196	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	197	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	198	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	199	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	200	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	201	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	202	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	203	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	204	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	205	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	206	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	207	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	208	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	209	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	210	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	211	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	212	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	213	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	214	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	215	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	216	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	217	-35.984955	-36.601826	-34.992390	-38.799053	-37.189613
J02459.1	218	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	219	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	220	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	221	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	222	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	223	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	224	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	225	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	226	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	227	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	228	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	229	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	230	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	231	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	232	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	233	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	234	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	235	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	236	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	237	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	238	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	239	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	240	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	241	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	242	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	243	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	244	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	245	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	246	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	247	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	248	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	249	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	250	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	251	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	252	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	253	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	254	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	255	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	256	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	257	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	258	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	259	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	260	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	261	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	262	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	263	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	264	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	265	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	266	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	267	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	268	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	269	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	270	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	271	-35.984955	-36.601826	-34.992390	-38.799053	-37.189613
J02459.1	272	-35.984955	-36.601826	-34.992390	-38.799053	-37.189613
J02459.1	273	-35.984955	-36.601826	-34.992390	-38.799053	-37.189613
J02459.1	274	-35.984955	-36.601826	-34.992390	-38.799053	-37.189613
J02459.1	275	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	276	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	277	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	278	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	279	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	280	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	281	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	282	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	283	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	284	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	285	-35.378818	-35.908669	-34.299232	-38.105896	-36.496456
J02459.1	286	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	287	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	288	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	289	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	290	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	291	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	292	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	293	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	294	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	295	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	296	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	297	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	298	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	299	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	300	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	301	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	302	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	303	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	304	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	305	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	306	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	307	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	308	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	309	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	310	-34.641220	-35.215515	-33.606079	-37.412743	-35.803303
J02459.1	311	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	312	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	313	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	314	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	315	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	316	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	317	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	318	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	319	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	320	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	321	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	322	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	323	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	324	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	325	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	326	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	327	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	328	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	329	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	330	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	331	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	332	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	333	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	334	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	335	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	336	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	337	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	338	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	339	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	340	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	341	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	342	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	343	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	344	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	345	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	346	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	347	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	348	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	349	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	350	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	351	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	352	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	353	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	354	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	355	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	356	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	357	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	358	-31.871351	-32.441212	-30.833454	-34.625084	-33.027653
J02459.1	359	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	360	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	361	-33.254925	-33.829197	-32.219765	-36.026367	-34.416977
J02459.1	362	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	363	-32.567226	-33.135941	-31.526609	-35.332325	-33.723644
J02459.1	364	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	365	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
J02459.1	366	-33.970051	-34.522358	-32.912922	-36.719582	-35.110146
